"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSGALG00000009771",113.793579523614,0.0296470171145549,0.239411148909435,0.123833068132386,0.901447448733962,0.955746504123708
"ENSGALG00000027884",0.481064981150285,-0.498927603773806,0.340817607440725,-1.46391381454838,0.143217498330417,NA
"ENSGALG00000009783",1326.22437216463,-0.19649140957933,0.224267157398241,-0.876148838995678,0.380949125138261,0.624989459888404
"ENSGALG00000009778",0.431691931203545,0.0990426413321325,0.289743682818957,0.341828475321818,0.732479978810756,NA
"ENSGALG00000009772",33.4063283840192,0.251620709895431,0.219868509541905,1.14441449764535,0.252451778608361,0.500575772357307
"ENSGALG00000009770",53.1345860069426,0.522413274248067,0.196963150929821,2.65234015490646,0.00799359666230766,0.0719276985718302
"ENSGALG00000023986",0.0819270948722087,0.0856732448826405,0.125598982830787,0.682117346428382,0.495164752868023,NA
"ENSGALG00000009746",43.4790815171925,-0.349557181421051,0.201262925283051,-1.73681854683093,0.0824192042772255,0.269416140199712
"ENSGALG00000025765",0.246732324876273,0.191772804125391,0.18242156917809,1.05126167365753,NA,NA
"ENSGALG00000026110",3.2346713004444,0.106692777668769,0.361070981986969,0.295489759608042,0.767619773945045,0.887004559374063
"ENSGALG00000027205",0.156045424322123,-0.0800102704961352,0.190547363594795,-0.419897021856884,0.674560683466782,NA
"ENSGALG00000013502",81.3175117494085,0.318574504980423,0.204137191736056,1.56059022009243,0.118620467770297,0.32724658334877
"ENSGALG00000013772",65.6835430302968,0.467465581560707,0.231048005468677,2.02324006481883,0.0430484028436088,0.185667667380533
"ENSGALG00000013499",347.18890620219,-0.204268351813182,0.124296382727033,-1.64339739686372,0.100300738372361,0.297000741468513
"ENSGALG00000025483",0.0401789083904555,0.0491262615144683,0.096107392671841,0.511160069467394,0.609238976522481,NA
"ENSGALG00000028531",1.32179706780174,0.359882432259624,0.384132675926136,0.936870135798667,0.348825362675515,NA
"ENSGALG00000012438",47.7020754431123,0.526751664249751,0.244507494792492,2.15433749667589,0.0312137143339274,0.153561664887689
"ENSGALG00000025883",0.0252520009491998,0.0326126766401904,0.078684373197341,0.414474632191547,0.678526541542822,NA
"ENSGALG00000023981",17.3558688354802,0.230125962836502,0.263617453255275,0.872954199332392,0.382688042419777,0.626300407364515
"ENSGALG00000013811",370.221485656489,0.512413440404728,0.221806913937118,2.31017794400222,0.020878304610725,0.121841611194694
"ENSGALG00000028368",0.621913194809444,0.550526574195183,0.362881302856676,1.5170982077647,0.12924189069521,NA
"ENSGALG00000013823",56.1988861406207,0.178809407757034,0.204373860946,0.874913293360348,0.381621085444083,0.62566089122062
"ENSGALG00000007910",61.7726652269436,0.63857422724687,0.209269150137421,3.05144942208413,0.00227739413443192,0.0349231418900438
"ENSGALG00000007960",97.356879086623,0.0999459765050957,0.202874964759386,0.492648152144519,0.622261218301659,0.804024554795139
"ENSGALG00000026181",99.2094580623902,0.0760028383644169,0.17039380709541,0.446042257403521,0.655566721696259,0.822901004284299
"ENSGALG00000007973",272.695949268717,0.0551609376984569,0.160383386471822,0.34393174325539,0.730897618825733,0.867708741400749
